Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.001386294374242425,-2.516640620342514e-07,0.2712155878543854,0.26982954144477844,,,,
2,0.0013862928608432412,3.8272806705208495e-05,0.26004138588905334,0.2586168348789215,,,,
3,0.0013862892519682646,-0.0001228650362463668,0.08145453035831451,0.08019110560417175,,,,
4,0.0013862877385690808,1.982185676752124e-05,0.17853377759456635,0.1771276742219925,,,,
5,0.0013862798223271966,-1.836154297052417e-05,0.2518143951892853,0.25044646859169006,,,,
6,0.0013862779596820474,3.8213202060433105e-05,0.29060423374176025,0.2891797423362732,,,,
7,0.0013862807536497712,-3.740522515727207e-05,0.23082023859024048,0.229471355676651,,,,
8,0.0013862750492990017,-8.203586185118183e-05,0.32141971588134766,0.32011547684669495,,,,
1,0.0013862639898434281,-2.2856725081510376e-06,0.06709504127502441,0.06571106612682343,,,,
2,0.0013862507184967399,8.121132850646973e-06,0.057974737137556076,0.05658036470413208,,,,
3,0.0013862282503396273,0.00010153278708457947,0.06714381277561188,0.06565605103969574,,,,
4,0.0013862029882147908,0.000293946941383183,0.06655856966972351,0.0648784190416336,,,,
5,0.001386183430440724,-9.511825192021206e-05,0.06268364191055298,0.06139257550239563,,,,
6,0.001386185409501195,9.394271910423413e-05,0.059935543686151505,0.058455415070056915,,,,
7,0.0013861824991181493,0.00013822938490193337,0.05468713119626045,0.05316271632909775,,,,
8,0.001386169926263392,-0.00019613922631833702,0.05720358341932297,0.0560135543346405,,,,
1,0.0013861570041626692,7.75754451751709e-05,0.0634528398513794,0.061989106237888336,,,,
2,0.0013861334882676601,0.00021319174265954643,0.05588146671652794,0.05428214371204376,,,,
3,0.0013860950712114573,0.0006004191236570477,0.05658290907740593,0.054596394300460815,,,,
4,0.0013860327890142798,-3.794498115894385e-05,0.06023313105106354,0.05888504534959793,,,,
5,0.0013859547907486558,0.00040273202466778457,0.05428985133767128,0.05250116437673569,,,,
6,0.001385856419801712,0.00037750686169601977,0.05802273750305176,0.05625937506556511,,,,
7,0.0013857842423021793,-0.0009796504164114594,0.061964381486177444,0.06155824661254883,,,,
8,0.0013857901794835925,0.00017747614765539765,0.059584710747003555,0.05802144482731819,,,,
1,0.0013858191668987274,0.0003399451670702547,0.05301022529602051,0.051284462213516235,,,,
2,0.001385834300890565,0.0006754986243322492,0.05866897106170654,0.05660763755440712,,,,
3,0.0013858230086043477,-0.00026251128292642534,0.056191910058259964,0.055068597197532654,,,,
4,0.0013858041493222117,0.00024151595425792038,0.0627823919057846,0.06115507334470749,,,,
5,0.0013857610756531358,0.0006660496001131833,0.06175682321190834,0.059705015271902084,,,,
6,0.00138568424154073,-0.0006240092916414142,0.056925151497125626,0.056163474917411804,,,,
7,0.001385603565722704,1.7996464521274902e-05,0.05290444567799568,0.051500845700502396,,,,
8,0.0013855091528967023,0.0012458927230909467,0.055191557854413986,0.05256015434861183,,,1.8533334,0.05550565756857395
1,0.0013853758573532104,-1.0679993465601001e-05,0.07628275454044342,0.0749080553650856,,,,
2,0.0013852069387212396,4.2594969272613525e-05,0.06400357186794281,0.06257577240467072,,,,
3,0.0013849470997229218,0.00014353875303640962,0.07029814273118973,0.0687696635723114,,,,
4,0.001384603208862245,0.0005391057929955423,0.07145874947309494,0.0695350393652916,,,,
5,0.0013842966873198748,0.00020092270278837532,0.06548839062452316,0.06390317529439926,,,,
6,0.0013841473264619708,-0.00013269484043121338,0.065081886947155,0.0638304352760315,,,,
7,0.001384175498969853,0.0009478943538852036,0.05879554525017738,0.05646347627043724,,,,
8,0.001384225208312273,-0.0007118255598470569,0.052234407514333725,0.05156200751662254,,,,
1,0.001384318107739091,0.0006427119369618595,0.06366585195064545,0.06163882091641426,,,,
2,0.0013842962216585875,0.0006414710078388453,0.0671265572309494,0.0651007890701294,,,,
3,0.0013841589679941535,0.0005205704364925623,0.06772474944591522,0.06582001596689224,,,,
4,0.0013839146122336388,0.00023044479894451797,0.06725854426622391,0.06564418226480484,,,,
5,0.0013835907448083162,-0.0009775315411388874,0.0622527189552784,0.06184665858745575,,,,
6,0.001383278169669211,0.0003705467679537833,0.06476730108261108,0.0630134791135788,,,,
7,0.0013828801456838846,-0.0007161175017245114,0.05906300991773605,0.058396246284246445,,,,
8,0.001382530084811151,-0.00041626952588558197,0.06371870636940002,0.06275244802236557,,,,
