Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.028903719,1.57E-06,0.706550539,0.677645266,,,,
2,0.028903699,6.84E-05,0.085895203,0.05692314,,,,
3,0.028903648,2.80E-05,0.201425359,0.172493711,,,,
4,0.028903624,0.000175105,0.404029012,0.37495026,,,,
5,0.028903529,0.000103083,0.346088052,0.317081422,,,,
6,0.028903464,6.86E-05,0.193188399,0.16421631,,,,
7,0.028903335,0.000455158,0.180864826,0.151506335,,,,
8,0.02890325,0.000265823,0.181502536,0.152333468,,,,
1,0.028903104,1.14E-06,0.075460672,0.046556428,,,,
2,0.028902696,0.000103907,0.068464845,0.039458245,,,,
3,0.028901903,6.97E-05,0.06152663,0.032554984,,,,
4,0.028900756,0.0001834,0.068003789,0.038919631,,,,
5,0.028900117,0.000142339,0.073667184,0.044624727,,,,
6,0.028900141,6.63E-05,0.06283392,0.033867501,,,,
7,0.028900554,0.000991709,0.059051104,0.02915884,,,,
8,0.028900627,2.00E-05,0.067273974,0.038353387,,,,
1,0.028900463,0.000170356,0.061597798,0.032526977,,,,
2,0.028900029,2.28E-05,0.064973131,0.036050316,,,,
3,0.028899312,0.001035783,0.063563161,0.033628065,,,,
4,0.028898111,0.001005017,0.058895614,0.028992487,,,,
5,0.028896395,0.001569086,0.066478275,0.036012795,,,,
6,0.028894952,3.49E-05,0.06852261,0.039592713,,,,
7,0.028894374,0.001330939,0.062434945,0.032209631,,,,
8,0.028894471,0.001293289,0.057167966,0.026980206,,,,
1,0.028894756,0.001294732,0.069321737,0.039132249,,,,
2,0.028894493,0.000671811,0.057229519,0.027663214,,,,
3,0.028893532,0.001292898,0.066550508,0.036364079,,,,
4,0.028891737,0.001177619,0.060742155,0.030672802,,,,
5,0.028888881,0.001249303,0.05442372,0.024285534,,,,
6,0.028885957,0.001339184,0.061690398,0.031465258,,,,
7,0.028883887,0.003708867,0.060062289,0.027469534,,,,
8,0.028882667,0.00239782,0.054873873,0.023593385,,,8.571428,0.030080757
1,0.028882477,0.000146873,0.05842752,0.029398169,,,,
2,0.028880164,0.000298355,0.067763604,0.038585085,,,,
3,0.028874757,0.000986535,0.057982843,0.028121551,,,,
4,0.028865691,0.002019847,0.054488499,0.023602961,,,,
5,0.028855052,0.001260103,0.059646983,0.029531827,,,,
6,0.028847316,0.002373445,0.057477396,0.026256634,,,,
7,0.028843567,0.001346845,0.060298067,0.030107655,,,,
8,0.028844753,0.000328028,0.057981838,0.028809058,,,,
1,0.028848354,0.00093706,0.061534062,0.031748649,,,,
2,0.028848857,0.00044132,0.05156108,0.022270903,,,,
3,0.02884368,0.0015293,0.060731888,0.030358909,,,,
4,0.028830685,0.004536596,0.054394819,0.021027539,,,,
5,0.028814679,-7.66E-06,0.053596027,0.024789011,,,,
6,0.028805299,0.005442055,0.058417693,0.024170339,,,,
7,0.028801726,0.006381884,0.058430571,0.023246961,,,,
8,0.028804179,0.003684852,0.051005762,0.018516731,,,,
1,0.028809378,0.005549299,0.056485031,0.022126354,,,,
2,0.028807361,0.003469059,0.055045612,0.022769192,,,,
3,0.028796196,0.004523918,0.055272527,0.021952413,,,,
4,0.028781502,0.005672948,0.049887139,0.015432689,,,,
5,0.028770763,0.003198164,0.050367586,0.018398659,,,,
6,0.028764887,0.001433335,0.057130959,0.026932737,,,,
7,0.028770583,0.007717098,0.057930697,0.021443017,,,,
8,0.028777076,0.006624596,0.058365121,0.022963449,,,59.375,0.021502314
1,0.028766606,0.000867347,0.074089073,0.044455118,,,,
2,0.028739819,-6.29E-05,0.069893673,0.041216798,,,,
3,0.028698441,0.000755646,0.070274979,0.040820893,,,,
4,0.028657084,0.000732301,0.070616007,0.041226618,,,,
5,0.02864345,0.001624036,0.075827867,0.045560379,,,,
6,0.028659681,0.003305696,0.068883926,0.036918551,,,,
7,0.02869297,0.001285993,0.062629797,0.032650836,,,,
8,0.028736681,0.001272567,0.058830772,0.028821524,,,,
1,0.028744068,0.003526758,0.064625673,0.032354847,,,,
2,0.028708972,0.002546776,0.061172426,0.029916678,,,,
3,0.028648274,0.002423105,0.064684518,0.033613142,,,,
4,0.028600574,0.004201731,0.064699732,0.031897426,,,,
5,0.028555483,-1.31E-05,0.066182643,0.037640214,,,,
6,0.028543502,0.002363867,0.058693755,0.027786385,,,,
7,0.028554223,0.004095909,0.060198296,0.027548164,,,,
8,0.02855392,-5.17E-05,0.069264293,0.040762052,,,,
1,0.028538462,0.002781052,0.062449351,0.031129837,,,,
2,0.028527109,0.00324372,0.060824435,0.029053608,,,,
3,0.028543731,0.003906845,0.059117861,0.026667286,,,,
4,0.028573638,0.003377594,0.062021494,0.03007026,,,,
5,0.028605277,0.000957267,0.065771155,0.036208615,,,,
6,0.028627858,0.00497158,0.057721633,0.024122195,,,,
7,0.028618295,0.00563379,0.066100776,0.031848691,,,,
8,0.028592007,0.006978252,0.057498462,0.021928202,,,148.57143,0.028878587
1,0.028558489,-0.000408911,0.085001089,0.05685151,,,,
2,0.028458649,0.00059449,0.071737237,0.042684101,,,,
3,0.028277375,0.005311406,0.061680675,0.028091894,,,,
4,0.028117107,-0.001977758,0.069826864,0.043687515,,,,
5,0.028086349,0.00625042,0.070530489,0.036193721,,,,
6,0.028132088,0.002167445,0.072135687,0.041836154,,,,
7,0.028229715,0.003098553,0.061947651,0.030619385,,,,
8,0.028280172,-0.002234705,0.063113481,0.037068013,,,,
1,0.028306445,0.002778923,0.06467142,0.033586048,,,,
2,0.028252294,-0.001614294,0.061795224,0.035157226,,,,
3,0.028177239,0.004079937,0.061383512,0.029126337,,,,
4,0.028145893,0.003597502,0.064665698,0.032922301,,,,
5,0.028161326,0.002060077,0.060795374,0.030573973,,,,
6,0.028217636,0.005705152,0.060323101,0.026400313,,,,
7,0.028269436,0.003320697,0.063504457,0.031914324,,,,
8,0.028306842,0.006873387,0.05903231,0.02385208,,,,
1,0.028305575,0.003215542,0.056797042,0.025275925,,,,
2,0.028260112,0.008533026,0.059159856,0.022366717,,,,
3,0.028209789,0.003095613,0.057742357,0.026436955,,,,
4,0.028198525,0.004089033,0.062595263,0.030307705,,,,
5,0.028229263,0.006395864,0.059613843,0.024988716,,,,
6,0.028255187,0.005622615,0.061009195,0.027131394,,,,
7,0.028260471,-0.000565881,0.058251992,0.030557401,,,,
8,0.028260065,0.002703042,0.056820102,0.025856994,,,130,0.026615226
1,0.028233698,3.79E-05,0.094658352,0.066386729,,,,
2,0.028172936,-0.000214281,0.075690098,0.047731444,,,,
3,0.028030645,-0.001098322,0.059300635,0.03236831,,,,
4,0.027946612,0.003519526,0.067900762,0.036434624,,,,
5,0.027918557,0.001261676,0.07583195,0.046651717,,,,
6,0.027941622,-0.002196131,0.069488548,0.043743055,,,,
7,0.028022207,-0.001700873,0.067670614,0.041349281,,,,
8,0.028105587,-0.000333181,0.066707969,0.038935564,,,,
1,0.028196558,0.000958239,0.06929706,0.040142264,,,,
2,0.028196808,-8.60E-05,0.065409318,0.03729846,,,,
3,0.028151618,0.000395017,0.066097379,0.037550747,,,,
4,0.028070264,0.000462308,0.060029287,0.031496715,,,,
5,0.027996924,-0.001828288,0.066758946,0.040590309,,,,
