Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.289037198,3.21E-06,0.302074581,0.013034178,,,,
2,0.289036989,1.34E-05,0.214445099,-0.074605241,,,,
3,0.289036483,-0.000114871,0.430755258,0.141833648,,,,
4,0.289036453,3.55E-05,0.427184135,0.138112158,,,,
5,0.289036483,0.000115547,0.2038095,-0.085342526,,,,
6,0.289036304,0.000101606,0.495304227,0.206166312,,,,
7,0.289035767,0.000214888,0.194837779,-0.094412878,,,,
8,0.289034605,-1.81E-05,0.420651942,0.131635427,,,,
1,0.289033473,3.48E-06,0.070048079,-0.218988881,,,,
2,0.289031476,8.57E-05,0.055395432,-0.233721778,,,,
3,0.289027512,0.000171486,0.059151955,-0.230047047,,,,
4,0.289023131,-6.06E-05,0.066773191,-0.222189352,,,,
5,0.289021462,9.96E-05,0.058632758,-0.230488256,,,,
6,0.28902182,0.000461781,0.060755908,-0.228727698,,,,
7,0.289020866,0.000247711,0.053129259,-0.236139327,,,,
8,0.289019227,0.000823924,0.066041589,-0.223801568,,,,
1,0.289015144,6.92E-05,0.059166517,-0.229917839,,,,
2,0.289009541,0.000610093,0.058463573,-0.231156066,,,,
3,0.289001286,0.000724905,0.056326617,-0.233399585,,,,
4,0.288990825,0.001301434,0.059989888,-0.230302379,,,,
5,0.288982838,0.000895598,0.061019965,-0.228858486,,,,
6,0.28897956,0.000570442,0.057891659,-0.23165834,,,,
7,0.288975239,0.001477141,0.058380127,-0.232072249,,,,
8,0.288966984,0.002452869,0.053124752,-0.238295093,,,,
1,0.288953841,0.000464204,0.058261983,-0.231156051,,,,
2,0.288937777,0.003378205,0.05552543,-0.236790568,,,,
3,0.288913459,0.00047798,0.053261478,-0.236129969,,,,
4,0.28889519,0.001337732,0.057052482,-0.233180448,,,,
5,0.288884372,0.003629576,0.061762623,-0.230751321,,,,
6,0.288866729,0.001373885,0.051023364,-0.239217252,,,,
7,0.288843364,0.003568791,0.059642076,-0.232770085,,,,
8,0.288806319,0.002195959,0.057835568,-0.23316671,,,18.181818,-0.2341453
1,0.288769364,8.11E-05,0.08416722,-0.204683214,,,,
2,0.288681716,0.000717641,0.072964601,-0.216434747,,,,
3,0.288537145,0.001180397,0.066483617,-0.223233923,,,,
4,0.288398296,0.0005546,0.068828069,-0.220124826,,,,
5,0.288333237,0.0033174,0.074100062,-0.217550576,,,,
6,0.288323522,6.47E-05,0.069571733,-0.218816519,,,,
7,0.28837648,0.001190978,0.065986454,-0.223581001,,,,
8,0.288390845,0.001741353,0.063005343,-0.227126852,,,,
1,0.288355082,-0.000146561,0.071010515,-0.217197999,,,,
2,0.288284689,0.003414887,0.066880971,-0.224818602,,,,
3,0.28814894,0.004583201,0.058182061,-0.234550074,,,,
4,0.28801772,0.002970989,0.06298276,-0.228005946,,,,
5,0.287944853,0.002846763,0.074867465,-0.215924159,,,,
6,0.287935227,0.00299344,0.066007055,-0.224921614,,,,
7,0.287968934,0.004491094,0.064841412,-0.227618605,,,,
8,0.287912279,0.001169926,0.064771116,-0.224311084,,,,
1,0.287793964,0.003097176,0.059636787,-0.231254354,,,,
2,0.28761363,0.004190693,0.061997402,-0.22980693,,,,
3,0.287517756,0.006383392,0.066623896,-0.227277249,,,,
4,0.287536561,0.003356733,0.059426997,-0.231466308,,,,
5,0.287667722,0.004634582,0.066748701,-0.225553602,,,,
6,0.287689894,0.003710462,0.073477007,-0.217923358,,,,
7,0.287603229,0.005701452,0.060087722,-0.233216956,,,,
8,0.287508279,0.005856876,0.061565638,-0.231799513,,,77.69231,-0.228537284
1,0.287523001,0.000564564,0.07891202,-0.209175542,,,,
2,0.287192106,0.001031708,0.072768435,-0.215455383,,,,
3,0.286637157,0.002507922,0.065934367,-0.223210722,,,,
4,0.286183,0.00142494,0.07426177,-0.213346168,,,,
5,0.286203474,0.004584149,0.076088801,-0.214698821,,,,
6,0.286527991,0.00140798,0.069232747,-0.218703225,,,,
7,0.287002534,0.000735072,0.066763416,-0.220974192,,,,
8,0.287244737,0.001019413,0.065865852,-0.222398311,,,,
1,0.287055314,0.000442119,0.065793768,-0.221703663,,,,
2,0.286585301,0.003294832,0.066113286,-0.223766834,,,,
3,0.28627795,0.003812358,0.065046638,-0.225043669,,,,
4,0.286273479,0.001211901,0.062797047,-0.224688336,,,,
5,0.2865448,0.001472961,0.070781313,-0.217236444,,,,
6,0.286877573,0.003862086,0.07057295,-0.220166713,,,,
7,0.286823809,0.00229074,0.064148284,-0.224966273,,,,
8,0.286552817,0.005583368,0.058946412,-0.233189762,,,,
1,0.286228359,0.00512443,0.064509273,-0.226843521,,,,
2,0.286023647,0.001591323,0.066664435,-0.220950544,,,,
3,0.286224842,0.00649784,0.061342742,-0.231379941,,,,
4,0.286406726,0.003563149,0.071945719,-0.21802415,,,,
5,0.286343187,0.001898676,0.062789291,-0.225452572,,,,
6,0.286126286,0.003899381,0.067352951,-0.222672716,,,,
7,0.286090225,0.00771648,0.059725914,-0.234080791,,,,
8,0.286072224,0.003544983,0.056509648,-0.233107567,,,129.16667,-0.226563975
1,0.286116153,7.66E-05,0.091343157,-0.194849595,,,,
2,0.285579085,-0.000243192,0.080775477,-0.204560429,,,,
3,0.284301341,0.000433702,0.060243275,-0.22449176,,,,
4,0.282877415,0.000822617,0.07191582,-0.211784214,,,,
5,0.282557935,0.004246871,0.081088528,-0.205716282,,,,
6,0.283133715,0.001218086,0.076572895,-0.207778901,,,,
7,0.284228772,-0.0002825,0.062874071,-0.221072197,,,,
8,0.285389841,0.000127749,0.061299164,-0.224218428,,,,
1,0.286015153,-7.36E-07,0.068218827,-0.217795596,,,,
2,0.285931885,-9.40E-06,0.069270931,-0.216651544,,,,
3,0.285441041,0.00070698,0.062246758,-0.223901272,,,,
4,0.285008013,0.002038316,0.065316252,-0.221730068,,,,
5,0.284622163,0.000312828,0.063468114,-0.221466884,,,,
6,0.284620374,0.000830304,0.063357964,-0.222092718,,,,
7,0.284843445,-0.000109663,0.064478546,-0.220255241,,,,
8,0.285210729,5.31E-05,0.057777923,-0.22748594,,,,
1,0.285510629,0.001339895,0.063629925,-0.223220602,,,,
2,0.285751998,0.000975374,0.059186764,-0.227540612,,,,
3,0.285801262,0.000498492,0.058361545,-0.227938205,,,,
4,0.285738111,0.00064751,0.060025096,-0.22636053,,,,
5,0.285763651,0.000636028,0.061896589,-0.224503085,,,,
6,0.285817683,-0.000936461,0.061126471,-0.223754749,,,,
7,0.285917133,0.000945183,0.060273476,-0.226588845,,,,
