Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.06931471824645996,-2.1855036891338386e-07,0.34325075149536133,0.2739362418651581,,,,
2,0.06931457668542862,-5.304151272866875e-05,0.2590513229370117,0.1897898018360138,,,,
3,0.06931456178426743,4.8059555410873145e-05,0.2788284718990326,0.2094658464193344,,,,
4,0.06931442767381668,4.0830836951499805e-05,0.1830398589372635,0.11368460208177567,,,,
5,0.0693141296505928,-0.00016603205585852265,0.2664205729961395,0.19727247953414917,,,,
6,0.06931395083665848,-3.4656790376175195e-05,0.18756839632987976,0.11828910559415817,,,,
7,0.06931372731924057,6.347563612507656e-05,0.12159842997789383,0.05222122743725777,,,,
8,0.06931367516517639,-0.00015028649067971855,0.16446362435817719,0.09530023485422134,,,,
1,0.1386280059814453,-5.033281240685028e-07,0.07151266932487488,-0.06711483001708984,,,,
2,0.13862799108028412,6.384319931385107e-06,0.07654277980327606,-0.06209159642457962,,,,
3,0.13862748444080353,-5.6416625739075243e-05,0.07661415636539459,-0.06195691227912903,,,,
4,0.1386270970106125,-4.2033690988318995e-05,0.056599393486976624,-0.08198566734790802,,,,
5,0.138626828789711,0.00012235467147547752,0.0583697147667408,-0.08037947118282318,,,,
6,0.1386253386735916,0.00018912636733148247,0.06918890029191971,-0.06962556391954422,,,,
7,0.1386238932609558,0.00010479821503395215,0.07338622212409973,-0.06534247100353241,,,,
8,0.1386224776506424,0.00013742285955231637,0.06147326901555061,-0.07728663831949234,,,,
1,0.13862110674381256,4.405362687975867e-06,0.06427369266748428,-0.07435181736946106,,,,
2,0.1386200189590454,0.00015993003034964204,0.07238040864467621,-0.06639953702688217,,,,
3,0.1386178433895111,0.000127846171380952,0.06468664109706879,-0.07405904680490494,,,,
4,0.13861452043056488,0.0001615111978026107,0.06374101340770721,-0.07503502070903778,,,,
5,0.13860948383808136,0.0004502853553276509,0.06163625046610832,-0.07742351293563843,,,,
6,0.13860200345516205,0.0005568795604631305,0.06169063597917557,-0.07746824622154236,,,,
7,0.13859210908412933,-0.00019602228712756187,0.06249208748340607,-0.0759039968252182,,,,
8,0.1385865956544876,0.0009314633207395673,0.061441559344530106,-0.07807650417089462,,,,
1,0.1385837346315384,0.0011347619583830237,0.061185114085674286,-0.07853338122367859,,,,
