Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.013862943276762962,9.801652822716278e-07,0.31817880272865295,0.30431488156318665,,,,
2,0.013862925581634045,-9.344684258394409e-06,0.24265074729919434,0.22879716753959656,,,,
3,0.013862908817827702,-4.373490810394287e-06,0.151455357670784,0.13759681582450867,,,,
4,0.01386286597698927,4.0531158447265625e-06,0.3342023491859436,0.32033541798591614,,,,
5,0.013862746767699718,8.910894393920898e-06,0.24359965324401855,0.22972799837589264,,,,
6,0.013862594962120056,0.00023873316240496933,0.1816774159669876,0.16757608950138092,,,,
7,0.0138624906539917,0.0001646992313908413,0.21850930154323578,0.20448210835456848,,,,
8,0.0138624906539917,0.0004046029644086957,0.15165852010250092,0.13739143311977386,,,,
1,0.013862631283700466,-1.9233673810958862e-05,0.07079403102397919,0.056950632482767105,,,,
2,0.01386242639273405,-9.448992386751343e-06,0.07109049707651138,0.05723751708865166,,,,
3,0.013862154446542263,-5.534374213311821e-05,0.06952069699764252,0.05571388453245163,,,,
4,0.013861767947673798,0.0002171910455217585,0.06717954576015472,0.0531005859375,,,,
5,0.013861129060387611,0.000136450762511231,0.0618116594851017,0.047814078629016876,,,,
6,0.013860204257071018,0.0004876719613093883,0.06227661669254303,0.047928743064403534,,,,
7,0.013859421014785767,-0.0005308683612383902,0.06709787994623184,0.05376932770013809,,,,
8,0.013859283179044724,0.0003051625390071422,0.06878139823675156,0.05461695417761803,,,,
1,0.013859380036592484,-0.0003953319392167032,0.06631336361169815,0.052849315106868744,,,,
2,0.013859511353075504,-6.922665488673374e-05,0.06926846504211426,0.055478181689977646,,,,
3,0.013859494589269161,-8.84839209902566e-06,0.05846007168292999,0.044609423726797104,,,,
4,0.013859335333108902,0.00020583346486091614,0.06249149143695831,0.048426322638988495,,,,
5,0.013858961872756481,-0.00017795753956306726,0.06296707689762115,0.049286071211099625,,,,
6,0.013858492486178875,0.0005055218935012817,0.05972466245293617,0.04536064714193344,,,,
7,0.01385772880166769,0.0010354587575420737,0.06951744854450226,0.05462425947189331,,,,
8,0.013856472447514534,-0.00037898702430538833,0.06851878017187119,0.055041298270225525,,,,
1,0.01385591458529234,-0.00014370513963513076,0.0668017640709877,0.053089555352926254,,,,
2,0.013856012374162674,-0.0005713850259780884,0.06308553367853165,0.04980090633034706,,,,
3,0.013856743462383747,-0.0009885901818051934,0.0675245076417923,0.05465635657310486,,,,
4,0.013857530429959297,0.00020807815599255264,0.068026103079319,0.053960494697093964,,,,
5,0.013857944868505001,0.0006401099963113666,0.056363847106695175,0.041865792125463486,,,,
6,0.013858017511665821,0.00031850155210122466,0.06641135364770889,0.05223483592271805,,,,
7,0.01385782565921545,0.001242434256710112,0.05895967781543732,0.043859418481588364,,,,
8,0.013857175596058369,-0.000247076153755188,0.07132025063037872,0.05771015211939812,,,1.3378378,0.05089718895033002
1,0.013859229162335396,-5.770930147264153e-05,0.05151696130633354,0.03771543875336647,,,,
2,0.01385694369673729,0.00035046538687311113,0.04371923208236694,0.029511822387576103,,,,
3,0.013854795135557652,-0.00022179550433065742,0.04046781361103058,0.026834815740585327,,,,
4,0.013852892443537712,0.0002736631431616843,0.04825040325522423,0.034123849123716354,,,,
5,0.01385097112506628,0.0001576836802996695,0.05150557681918144,0.03749692067503929,,,,
6,0.013849682174623013,-0.00015497952699661255,0.04944416135549545,0.03574945777654648,,,,
7,0.013849705457687378,-0.0007845560903660953,0.04996112734079361,0.036895979195833206,,,,
8,0.01385075505822897,0.0005260209436528385,0.04002225399017334,0.025645477697253227,,,,
1,0.013851556926965714,5.545632666326128e-05,0.045170579105615616,0.031263567507267,,,,
2,0.013852258212864399,0.0003829209308605641,0.04567703604698181,0.03144185617566109,,,,
3,0.013852558098733425,0.0010697344550862908,0.04711955785751343,0.0321972630918026,,,,
4,0.013852346688508987,0.00011377781629562378,0.04915093258023262,0.03518480807542801,,,,
5,0.013851849362254143,-3.87546097044833e-05,0.04463205859065056,0.030818963423371315,,,,
6,0.013851257041096687,0.0004954122705385089,0.04543744772672653,0.031090781092643738,,,,
7,0.01385035365819931,-0.00026162798167206347,0.0473644882440567,0.03377576172351837,,,,
8,0.013849591836333275,-0.000218771820073016,0.04478595033288002,0.03115512989461422,,,,
1,0.01384885422885418,-0.0005424494738690555,0.04008856415748596,0.026782158762216568,,,,
2,0.01384830940514803,0.0014824954560026526,0.04615844786167145,0.03082764334976673,,,,
3,0.013847367838025093,-0.0020486724097281694,0.04548681527376175,0.03368812054395676,,,,
4,0.013847540132701397,0.0006958626909181476,0.04511871561408043,0.030575312674045563,,,,
5,0.013847680762410164,0.0008807562990114093,0.046214956790208817,0.03148651868104935,,,,
6,0.013848230242729187,0.0008618243737146258,0.04098261147737503,0.02627255767583847,,,,
7,0.013848960399627686,0.0010647939052432775,0.047979846596717834,0.03306609392166138,,,,
8,0.013849622569978237,0.0015256769256666303,0.048921097069978714,0.03354579582810402,,,1.3125,0.030780525179579854
1,0.013854938559234142,-3.718667585417279e-06,0.07301975786685944,0.059168536216020584,,,,
2,0.013850446790456772,-2.36762898566667e-05,0.07035795599222183,0.056531187146902084,,,,
3,0.01384576503187418,1.5087425708770752e-05,0.06824851781129837,0.054387666285037994,,,,
4,0.013839753344655037,-0.0005448090378195047,0.05534457415342331,0.04204963147640228,,,,
5,0.013832439668476582,-0.0008746004896238446,0.06073440611362457,0.04777656868100166,,,,
6,0.013828277587890625,0.0016292333602905273,0.06738364696502686,0.0519261360168457,,,,
7,0.013828148134052753,5.4604479373665527e-05,0.06267313659191132,0.04879038408398628,,,,
8,0.01383194513618946,-0.00037369050551205873,0.059268493205308914,0.045810237526893616,,,,
1,0.013836351223289967,-0.00042821798706427217,0.06122484430670738,0.04781671240925789,,,,
2,0.01383928582072258,2.2376576453098096e-05,0.06280229985713959,0.04894063621759415,,,,
3,0.013840117491781712,0.0010843832278624177,0.0601019449532032,0.04517744481563568,,,,
4,0.013838027603924274,0.00044182935380376875,0.06198041886091232,0.047700561583042145,,,,
5,0.013834279030561447,0.0008874200284481049,0.061131551861763,0.04640985280275345,,,,
6,0.013829070143401623,-0.0008153170347213745,0.06216299533843994,0.04914924129843712,,,,
7,0.013826022855937481,0.0010643808636814356,0.06858105957508087,0.053690653294324875,,,,
8,0.013824237510561943,0.0012728183064609766,0.058039743453264236,0.04294268786907196,,,,
1,0.01382414810359478,0.001050458988174796,0.05863732844591141,0.04376272112131119,,,,
2,0.013824429363012314,0.0003302958211861551,0.07019124925136566,0.05603652447462082,,,,
3,0.013825714588165283,9.913908434100449e-05,0.05766487121582031,0.04374001920223236,,,,
4,0.01382675115019083,0.0014187677297741175,0.06226091831922531,0.04701539874076843,,,,
5,0.013825541362166405,0.00039014883805066347,0.05958067253232002,0.04536498337984085,,,,
6,0.013821868225932121,0.0017250437522307038,0.05612034350633621,0.04057342931628227,,,,
7,0.013816648162901402,0.0007814446580596268,0.056965529918670654,0.04236743971705437,,,,
8,0.01381141971796751,-0.0008601095178164542,0.06256818026304245,0.049616869539022446,,,1.0547945,0.04605967318639159
1,0.013822072185575962,0.0004222061834298074,0.05786890536546707,0.0436246283352375,,,,
2,0.013806574046611786,0.000248822063440457,0.05655994638800621,0.04250454902648926,,,,
3,0.01378979254513979,-8.015334606170654e-05,0.0511772520840168,0.03746761381626129,,,,
4,0.013767342083156109,0.00046716962242498994,0.0556492879986763,0.041414774954319,,,,
5,0.013749179430305958,-0.001332249492406845,0.05412029102444649,0.04170336201786995,,,,
6,0.013754783198237419,-0.0009384730947203934,0.057861242443323135,0.04504493251442909,,,,
